"Section","QueryId","SchemaName","TableName","ColumnName","OrdinalPosition","DataType","MaxLength","NumericPrecision","NumericScale","DateTimePrecision","Nullable","ObjectType","ApproxRowCount","ConstraintName","ConstraintType","KeyOrdinal","ReferencedSchema","ReferencedTable","ReferencedColumn","IndexName","IsUnique","IsPrimaryKey","Finding","Error"
"ExportMetadata","EXPORT","","","","","","","","","","","","","","","","","","","","","","RockPointe TouchPoint data dictionary metadata export. Contains schema metadata and aggregate counts only; no arbitrary table rows or PII were selected.",""
"CollectionMetadata","Q01","","","","","","","","","","","","","","","","","","","","","","Database=CMS_rockpointe; CollectedAt=8/12/2026 10:18:01 PM; SQL=Microsoft SQL Server 2019 (RTM-CU22-GDR) (KB5029378) - 15.0.4326.1 (X64)  	Aug 18 2023 14:05:15  	Copyright (C) 2019 Microsoft Corporation 	Enterprise Edition: Core-based Licensing (64-bit) on Windows Server 2019 Datacenter 10.0 <X64> (Build 17763: ) (Hypervisor) ",""
"TableInventory","Q02","custom","JsonDocumentRecords","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","__1931","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","__ac","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","__INV1922","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","__INV1930","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","__INV1931","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","__INV1939","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","__INV1955","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","__INV1956","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","__INV768","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","__mail_list","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","__missing","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","__recurring","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","__SqlMigrations","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","__subscribers","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","__unsubscribed","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","AccessUserInfo","","","","","","","","","VIEW","","","","","","","","","","","",""
"TableInventory","Q02","dbo","ActiveRegistrations","","","","","","","","","VIEW","","","","","","","","","","","",""
"TableInventory","Q02","dbo","ActivityAll","","","","","","","","","VIEW","","","","","","","","","","","",""
"TableInventory","Q02","dbo","ActivityLog","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","Address","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","AddressInfo","","","","","","","","","VIEW","","","","","","","","","","","",""
"TableInventory","Q02","dbo","AddToOrgFromTagRun","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","AllLookups","","","","","","","","","VIEW","","","","","","","","","","","",""
"TableInventory","Q02","dbo","AllStatusFlags","","","","","","","","","VIEW","","","","","","","","","","","",""
"TableInventory","Q02","dbo","AnswersMobileSettings","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","ApiSession","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","AppRegistrations","","","","","","","","","VIEW","","","","","","","","","","","",""
"TableInventory","Q02","dbo","Attend","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","AttendanceStatsUpdate","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","AttendCredits","","","","","","","","","VIEW","","","","","","","","","","","",""
"TableInventory","Q02","dbo","AttendCredits2","","","","","","","","","VIEW","","","","","","","","","","","",""
"TableInventory","Q02","dbo","Attributes","","","","","","","","","VIEW","","","","","","","","","","","",""
"TableInventory","Q02","dbo","Audits","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","AuditValues","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","AuthProviders","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","BackgroundCheckMVRCodes","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","BackgroundChecks","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","BackgroundCheckTrainingFeedback","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","BibleBook","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","BundleDetail","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","BundleHeader","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","BundleList","","","","","","","","","VIEW","","","","","","","","","","","",""
"TableInventory","Q02","dbo","Calendar","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","CardIdentifiers","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","ChAiGiftData","","","","","","","","","VIEW","","","","","","","","","","","",""
"TableInventory","Q02","dbo","ChAiIndividualData","","","","","","","","","VIEW","","","","","","","","","","","",""
"TableInventory","Q02","dbo","ChangeDetails","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","ChangeLog","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","ChangeLogDetails","","","","","","","","","VIEW","","","","","","","","","","","",""
"TableInventory","Q02","dbo","CheckedBatches","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","CheckInActivities","","","","","","","","","VIEW","","","","","","","","","","","",""
"TableInventory","Q02","dbo","CheckInActivity","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","CheckInLabel","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","CheckInLabelEntry","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","CheckInLabelEntryAlignment","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","CheckInLabelType","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","CheckInPending","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","CheckInPrinters","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","CheckinProfiles","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","CheckinProfileSettings","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","CheckInSettings","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","CheckInTimes","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","ChurchAttReportIds","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","Churches","","","","","","","","","VIEW","","","","","","","","","","","",""
"TableInventory","Q02","dbo","City","","","","","","","","","VIEW","","","","","","","","","","","",""
"TableInventory","Q02","dbo","Colors","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","Contact","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","Contactees","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","ContactExtra","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","Contactors","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","Content","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","ContentKeyWords","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","ContentSafetyLog","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","ContributionFund","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","ContributionLog","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","ContributionsBasic","","","","","","","","","VIEW","","","","","","","","","","","",""
