"Section","QueryId","SchemaName","TableName","ColumnName","OrdinalPosition","DataType","MaxLength","NumericPrecision","NumericScale","DateTimePrecision","Nullable","ObjectType","ApproxRowCount","ConstraintName","ConstraintType","KeyOrdinal","ReferencedSchema","ReferencedTable","ReferencedColumn","IndexName","IsUnique","IsPrimaryKey","Finding","Error"
"TaskStatusUsage","F01","","TaskStatus","StatusId","","A","","","","","","","0","","","","","","","","","","Id=10; Description=Active; Hardwired=True",""
"TaskStatusUsage","F01","","TaskStatus","StatusId","","W","","","","","","","0","","","","","","","","","","Id=20; Description=Waiting For; Hardwired=True",""
"TaskStatusUsage","F01","","TaskStatus","StatusId","","S","","","","","","","0","","","","","","","","","","Id=30; Description=Someday; Hardwired=True",""
"TaskStatusUsage","F01","","TaskStatus","StatusId","","C","","","","","","","0","","","","","","","","","","Id=40; Description=Completed; Hardwired=True",""
"TaskStatusUsage","F01","","TaskStatus","StatusId","","P","","","","","","","0","","","","","","","","","","Id=50; Description=Pending Acceptance; Hardwired=True",""
"TaskStatusUsage","F01","","TaskStatus","StatusId","","R","","","","","","","0","","","","","","","","","","Id=60; Description=ReDelegated; Hardwired=True",""
"TaskStatusUsage","F01","","TaskStatus","StatusId","","D","","","","","","","0","","","","","","","","","","Id=70; Description=Declined; Hardwired=True",""
"UnmappedTaskStatus","F02","","TaskNote","StatusId","","","","","","","","","8240","","","","","","","","","","Unmapped StatusId=1",""
"UnmappedTaskStatus","F02","","TaskNote","StatusId","","","","","","","","","334","","","","","","","","","","Unmapped StatusId=2",""
"UnmappedTaskStatus","F02","","TaskNote","StatusId","","","","","","","","","287","","","","","","","","","","Unmapped StatusId=3",""
"UnmappedTaskStatus","F02","","TaskNote","StatusId","","","","","","","","","78","","","","","","","","","","Unmapped StatusId=4",""
"UnmappedTaskStatus","F02","","TaskNote","StatusId","","","","","","","","","103938","","","","","","","","","","Unmapped StatusId=5",""
"TaskNoteBehavior","F03","","TaskNote","IsNote","","","","","","","","","8240","","","","","","","","","","IsNote=0; StatusId=1; StatusDescription=",""
"TaskNoteBehavior","F03","","TaskNote","IsNote","","","","","","","","","334","","","","","","","","","","IsNote=0; StatusId=2; StatusDescription=",""
"TaskNoteBehavior","F03","","TaskNote","IsNote","","","","","","","","","287","","","","","","","","","","IsNote=0; StatusId=3; StatusDescription=",""
"TaskNoteBehavior","F03","","TaskNote","IsNote","","","","","","","","","78","","","","","","","","","","IsNote=0; StatusId=4; StatusDescription=",""
"TaskNoteBehavior","F03","","TaskNote","IsNote","","","","","","","","","103938","","","","","","","","","","IsNote=1; StatusId=5; StatusDescription=",""
"OrganizationStatusUsage","F04","","OrganizationStatus","OrganizationStatusId","","A","","","","","","","821","","","","","","","","","","Id=30; Description=Active; Active=True",""
"OrganizationStatusUsage","F04","","OrganizationStatus","OrganizationStatusId","","I","","","","","","","2825","","","","","","","","","","Id=40; Description=Inactive; Active=False",""
"OrganizationTypeUsage","F05","","OrganizationType","OrganizationTypeId","","MA","","","","","","","24","","","","","","","","","","Id=106; Description=Mobile App; Attendance=True; ShowInMobile=True",""
"OrganizationTypeUsage","F05","","OrganizationType","OrganizationTypeId","","ASSIM","","","","","","","86","","","","","","","","","","Id=200; Description=Assimilation; Attendance=True; ShowInMobile=True",""
"OrganizationTypeUsage","F05","","OrganizationType","OrganizationTypeId","","BIBLESTUDY","","","","","","","1266","","","","","","","","","","Id=201; Description=Bible Study/Class; Attendance=True; ShowInMobile=True",""
