Category,Campus,OrganizationId,OrganizationName,OrganizationTypeId,OrganizationType,SundayScheduleTimes,2026-08-16 Status,2026-08-16 Attendance,2026-08-09 Status,2026-08-09 Attendance,2026-08-02 Status,2026-08-02 Attendance,2026-07-26 Status,2026-07-26 Attendance,FourWeekAttendance,FourWeekReportedMeetings,LatestSundayMissing
Children/Classroom,RockPointe Church - Central,1876,CM: CC 10:45 AM 18-24 Months,201,Bible Study/Class,10:45:00,NO MEETING,0,REPORTED,1,REPORTED,1,NO MEETING,0,2,2,YES
Children/Classroom,RockPointe Church - Central,1865,CM: CC 10:45 AM 1st Grade,201,Bible Study/Class,10:45:00,REPORTED,9,REPORTED,4,REPORTED,4,REPORTED,6,23,4,
Children/Classroom,RockPointe Church - Central,1878,CM: CC 10:45 AM 2 Years,201,Bible Study/Class,10:45:00,REPORTED,4,REPORTED,5,REPORTED,7,REPORTED,7,23,4,
Children/Classroom,RockPointe Church - Central,1871,CM: CC 10:45 AM 2nd Grade,201,Bible Study/Class,10:45:00,REPORTED,10,REPORTED,12,REPORTED,9,REPORTED,8,39,4,
Children/Classroom,RockPointe Church - Central,1879,CM: CC 10:45 AM 3 Years,201,Bible Study/Class,10:45:00,REPORTED,8,REPORTED,5,REPORTED,8,REPORTED,6,27,4,
Children/Classroom,RockPointe Church - Central,820,CM: CC 10:45 AM 3rd Grade Boys,201,Bible Study/Class,10:45:00,REPORTED,6,REPORTED,10,REPORTED,10,REPORTED,5,31,4,
Children/Classroom,RockPointe Church - Central,98,CM: CC 10:45 AM 3rd Grade Girls,201,Bible Study/Class,10:45:00,REPORTED,5,REPORTED,10,REPORTED,9,REPORTED,8,32,4,
Children/Classroom,RockPointe Church - Central,1866,CM: CC 10:45 AM 4th Grade Boys,201,Bible Study/Class,10:45:00,REPORTED,7,REPORTED,7,REPORTED,3,REPORTED,4,21,4,
Children/Classroom,RockPointe Church - Central,1872,CM: CC 10:45 AM 4th Grade Girls,201,Bible Study/Class,10:45:00,REPORTED,14,REPORTED,11,REPORTED,9,REPORTED,1,35,4,
Children/Classroom,RockPointe Church - Central,1854,CM: CC 10:45 AM 5th Grade Boys,201,Bible Study/Class,10:45:00,REPORTED,8,REPORTED,6,REPORTED,4,REPORTED,5,23,4,
Children/Classroom,RockPointe Church - Central,1859,CM: CC 10:45 AM 5th Grade Girls,201,Bible Study/Class,10:45:00,REPORTED,9,REPORTED,8,REPORTED,9,REPORTED,5,31,4,
Children/Classroom,RockPointe Church - Central,819,CM: CC 10:45 AM Crawlers,201,Bible Study/Class,10:45:00,REPORTED,3,REPORTED,1,REPORTED,3,REPORTED,3,10,4,
Children/Classroom,RockPointe Church - Central,1858,CM: CC 10:45 AM Infants,201,Bible Study/Class,10:45:00,REPORTED,4,REPORTED,3,REPORTED,5,REPORTED,5,17,4,
Children/Classroom,RockPointe Church - Central,1857,CM: CC 10:45 AM Kindergarten,201,Bible Study/Class,10:45:00,REPORTED,20,REPORTED,10,REPORTED,10,REPORTED,11,51,4,
Children/Classroom,RockPointe Church - Central,822,CM: CC 10:45 AM PreK (4-5 Years),201,Bible Study/Class,10:45:00,REPORTED,5,REPORTED,18,REPORTED,22,REPORTED,22,67,4,
