Recommendation,Category,OrganizationId,OrganizationName,Campus,OrganizationType,ProgramDivisionLinks,ScheduleLinks,LatestSundayMeetingDate,LatestSundayMeetingPresent,ReportedOnLatestSunday,Reason
INCLUDE,Children,1876,CM: CC 10:45 AM 18-24 Months,RockPointe Church - Central,Bible Study/Class,Division 19=CM Preschool / Program 1111=Children's Ministry (CM); Division 81=RP CC Children / Program 1137=Reporting (RP) CC Children ONLY Sun AM,Day 0 at 10:45:00,2026-08-09 10:45,1,No,Official Sunday AM reporting hierarchy
INCLUDE,Children,1865,CM: CC 10:45 AM 1st Grade,RockPointe Church - Central,Bible Study/Class,Division 15=CM Elementary / Program 1111=Children's Ministry (CM); Division 81=RP CC Children / Program 1137=Reporting (RP) CC Children ONLY Sun AM,Day 0 at 10:45:00,2026-08-16 10:45,9,Yes,Official Sunday AM reporting hierarchy
INCLUDE,Children,1878,CM: CC 10:45 AM 2 Years,RockPointe Church - Central,Bible Study/Class,Division 19=CM Preschool / Program 1111=Children's Ministry (CM); Division 81=RP CC Children / Program 1137=Reporting (RP) CC Children ONLY Sun AM,Day 0 at 10:45:00,2026-08-16 10:45,4,Yes,Official Sunday AM reporting hierarchy
INCLUDE,Children,1871,CM: CC 10:45 AM 2nd Grade,RockPointe Church - Central,Bible Study/Class,Division 15=CM Elementary / Program 1111=Children's Ministry (CM); Division 81=RP CC Children / Program 1137=Reporting (RP) CC Children ONLY Sun AM,Day 0 at 10:45:00,2026-08-16 10:45,10,Yes,Official Sunday AM reporting hierarchy
INCLUDE,Children,1879,CM: CC 10:45 AM 3 Years,RockPointe Church - Central,Bible Study/Class,Division 19=CM Preschool / Program 1111=Children's Ministry (CM); Division 81=RP CC Children / Program 1137=Reporting (RP) CC Children ONLY Sun AM,Day 0 at 10:45:00,2026-08-16 10:45,8,Yes,Official Sunday AM reporting hierarchy
INCLUDE,Children,820,CM: CC 10:45 AM 3rd Grade Boys,RockPointe Church - Central,Bible Study/Class,Division 15=CM Elementary / Program 1111=Children's Ministry (CM); Division 81=RP CC Children / Program 1137=Reporting (RP) CC Children ONLY Sun AM,Day 0 at 10:45:00,2026-08-16 10:45,6,Yes,Official Sunday AM reporting hierarchy
INCLUDE,Children,98,CM: CC 10:45 AM 3rd Grade Girls,RockPointe Church - Central,Bible Study/Class,Division 15=CM Elementary / Program 1111=Children's Ministry (CM); Division 81=RP CC Children / Program 1137=Reporting (RP) CC Children ONLY Sun AM,Day 0 at 10:45:00,2026-08-16 10:45,5,Yes,Official Sunday AM reporting hierarchy
INCLUDE,Children,1866,CM: CC 10:45 AM 4th Grade Boys,RockPointe Church - Central,Bible Study/Class,Division 15=CM Elementary / Program 1111=Children's Ministry (CM); Division 81=RP CC Children / Program 1137=Reporting (RP) CC Children ONLY Sun AM,Day 0 at 10:45:00,2026-08-16 10:45,7,Yes,Official Sunday AM reporting hierarchy
INCLUDE,Children,1872,CM: CC 10:45 AM 4th Grade Girls,RockPointe Church - Central,Bible Study/Class,Division 15=CM Elementary / Program 1111=Children's Ministry (CM); Division 81=RP CC Children / Program 1137=Reporting (RP) CC Children ONLY Sun AM,Day 0 at 10:45:00,2026-08-16 10:45,14,Yes,Official Sunday AM reporting hierarchy
INCLUDE,Children,1854,CM: CC 10:45 AM 5th Grade Boys,RockPointe Church - Central,Bible Study/Class,Division 15=CM Elementary / Program 1111=Children's Ministry (CM); Division 81=RP CC Children / Program 1137=Reporting (RP) CC Children ONLY Sun AM,Day 0 at 10:45:00,2026-08-16 10:45,8,Yes,Official Sunday AM reporting hierarchy
INCLUDE,Children,1859,CM: CC 10:45 AM 5th Grade Girls,RockPointe Church - Central,Bible Study/Class,Division 15=CM Elementary / Program 1111=Children's Ministry (CM); Division 81=RP CC Children / Program 1137=Reporting (RP) CC Children ONLY Sun AM,Day 0 at 10:45:00,2026-08-16 10:45,9,Yes,Official Sunday AM reporting hierarchy
INCLUDE,Children,819,CM: CC 10:45 AM Crawlers,RockPointe Church - Central,Bible Study/Class,Division 19=CM Preschool / Program 1111=Children's Ministry (CM); Division 81=RP CC Children / Program 1137=Reporting (RP) CC Children ONLY Sun AM,Day 0 at 10:45:00,2026-08-16 10:45,3,Yes,Official Sunday AM reporting hierarchy
INCLUDE,Children,1858,CM: CC 10:45 AM Infants,RockPointe Church - Central,Bible Study/Class,Division 19=CM Preschool / Program 1111=Children's Ministry (CM); Division 81=RP CC Children / Program 1137=Reporting (RP) CC Children ONLY Sun AM,Day 0 at 10:45:00,2026-08-16 10:45,4,Yes,Official Sunday AM reporting hierarchy
INCLUDE,Children,1857,CM: CC 10:45 AM Kindergarten,RockPointe Church - Central,Bible Study/Class,Division 15=CM Elementary / Program 1111=Children's Ministry (CM); Division 81=RP CC Children / Program 1137=Reporting (RP) CC Children ONLY Sun AM,Day 0 at 10:45:00,2026-08-16 10:45,20,Yes,Official Sunday AM reporting hierarchy
INCLUDE,Children,822,CM: CC 10:45 AM PreK (4-5 Years),RockPointe Church - Central,Bible Study/Class,Division 19=CM Preschool / Program 1111=Children's Ministry (CM); Division 81=RP CC Children / Program 1137=Reporting (RP) CC Children ONLY Sun AM,Day 0 at 10:45:00,2026-08-16 10:45,5,Yes,Official Sunday AM reporting hierarchy
INCLUDE,Children,2428,CM: CC 10:45 AM Special Needs Kids,RockPointe Church - Central,Bible Study/Class,Division 14=CM Special Needs / Program 1111=Children's Ministry (CM); Division 81=RP CC Children / Program 1137=Reporting (RP) CC Children ONLY Sun AM,Day 0 at 10:45:00; Day 6 at 17:00:00,2026-08-16 10:45,9,Yes,Official Sunday AM reporting hierarchy
INCLUDE,Children,1850,CM: CC 10:45 AM Walking-18 Months,RockPointe Church - Central,Bible Study/Class,Division 19=CM Preschool / Program 1111=Children's Ministry (CM); Division 81=RP CC Children / Program 1137=Reporting (RP) CC Children ONLY Sun AM,Day 0 at 10:45:00,2026-08-16 10:45,2,Yes,Official Sunday AM reporting hierarchy
INCLUDE,Children,1875,CM: CC 9:00a 18-24 Months,RockPointe Church - Central,Bible Study/Class,Division 19=CM Preschool / Program 1111=Children's Ministry (CM); Division 81=RP CC Children / Program 1137=Reporting (RP) CC Children ONLY Sun AM,Day 0 at 09:00:00,2026-08-16 09:00,2,Yes,Official Sunday AM reporting hierarchy
INCLUDE,Children,1861,CM: CC 9:00a 1st Grade,RockPointe Church - Central,Bible Study/Class,Division 15=CM Elementary / Program 1111=Children's Ministry (CM); Division 81=RP CC Children / Program 1137=Reporting (RP) CC Children ONLY Sun AM,Day 0 at 09:00:00,2026-08-16 09:00,29,Yes,Official Sunday AM reporting hierarchy
INCLUDE,Children,1877,CM: CC 9:00a 2 Years,RockPointe Church - Central,Bible Study/Class,Division 19=CM Preschool / Program 1111=Children's Ministry (CM); Division 81=RP CC Children / Program 1137=Reporting (RP) CC Children ONLY Sun AM,Day 0 at 09:00:00,2026-08-16 09:00,18,Yes,Official Sunday AM reporting hierarchy
INCLUDE,Children,1868,CM: CC 9:00a 2nd Grade,RockPointe Church - Central,Bible Study/Class,Division 15=CM Elementary / Program 1111=Children's Ministry (CM); Division 81=RP CC Children / Program 1137=Reporting (RP) CC Children ONLY Sun AM,Day 0 at 09:00:00,2026-08-16 09:00,30,Yes,Official Sunday AM reporting hierarchy
INCLUDE,Children,1880,CM: CC 9:00a 3 Years,RockPointe Church - Central,Bible Study/Class,Division 19=CM Preschool / Program 1111=Children's Ministry (CM); Division 81=RP CC Children / Program 1137=Reporting (RP) CC Children ONLY Sun AM,Day 0 at 09:00:00,2026-08-16 09:00,25,Yes,Official Sunday AM reporting hierarchy
INCLUDE,Children,821,CM: CC 9:00a 3rd Grade Boys,RockPointe Church - Central,Bible Study/Class,Division 15=CM Elementary / Program 1111=Children's Ministry (CM); Division 81=RP CC Children / Program 1137=Reporting (RP) CC Children ONLY Sun AM,Day 0 at 09:00:00,2026-08-16 09:00,12,Yes,Official Sunday AM reporting hierarchy
INCLUDE,Children,199,CM: CC 9:00a 3rd Grade Girls,RockPointe Church - Central,Bible Study/Class,Division 15=CM Elementary / Program 1111=Children's Ministry (CM); Division 81=RP CC Children / Program 1137=Reporting (RP) CC Children ONLY Sun AM,Day 0 at 09:00:00,2026-08-16 09:00,17,Yes,Official Sunday AM reporting hierarchy
INCLUDE,Children,1869,CM: CC 9:00a 4th Grade Boys,RockPointe Church - Central,Bible Study/Class,Division 15=CM Elementary / Program 1111=Children's Ministry (CM); Division 81=RP CC Children / Program 1137=Reporting (RP) CC Children ONLY Sun AM,Day 0 at 09:00:00,2026-08-16 09:00,18,Yes,Official Sunday AM reporting hierarchy
