Category,Campus,OrganizationId,OrganizationName,OrganizationType,ScheduleLinks,ReportedOnLatestSunday,LatestSundayMeetingPresent
Children,RockPointe Church - Central,1876,CM: CC 10:45 AM 18-24 Months,Bible Study/Class,Day 0 at 10:45:00,No,1
Children,RockPointe Church - Central,1865,CM: CC 10:45 AM 1st Grade,Bible Study/Class,Day 0 at 10:45:00,Yes,9
Children,RockPointe Church - Central,1878,CM: CC 10:45 AM 2 Years,Bible Study/Class,Day 0 at 10:45:00,Yes,4
Children,RockPointe Church - Central,1871,CM: CC 10:45 AM 2nd Grade,Bible Study/Class,Day 0 at 10:45:00,Yes,10
Children,RockPointe Church - Central,1879,CM: CC 10:45 AM 3 Years,Bible Study/Class,Day 0 at 10:45:00,Yes,8
Children,RockPointe Church - Central,820,CM: CC 10:45 AM 3rd Grade Boys,Bible Study/Class,Day 0 at 10:45:00,Yes,6
Children,RockPointe Church - Central,98,CM: CC 10:45 AM 3rd Grade Girls,Bible Study/Class,Day 0 at 10:45:00,Yes,5
Children,RockPointe Church - Central,1866,CM: CC 10:45 AM 4th Grade Boys,Bible Study/Class,Day 0 at 10:45:00,Yes,7
Children,RockPointe Church - Central,1872,CM: CC 10:45 AM 4th Grade Girls,Bible Study/Class,Day 0 at 10:45:00,Yes,14
Children,RockPointe Church - Central,1854,CM: CC 10:45 AM 5th Grade Boys,Bible Study/Class,Day 0 at 10:45:00,Yes,8
Children,RockPointe Church - Central,1859,CM: CC 10:45 AM 5th Grade Girls,Bible Study/Class,Day 0 at 10:45:00,Yes,9
Children,RockPointe Church - Central,819,CM: CC 10:45 AM Crawlers,Bible Study/Class,Day 0 at 10:45:00,Yes,3
Children,RockPointe Church - Central,1858,CM: CC 10:45 AM Infants,Bible Study/Class,Day 0 at 10:45:00,Yes,4
Children,RockPointe Church - Central,1857,CM: CC 10:45 AM Kindergarten,Bible Study/Class,Day 0 at 10:45:00,Yes,20
Children,RockPointe Church - Central,822,CM: CC 10:45 AM PreK (4-5 Years),Bible Study/Class,Day 0 at 10:45:00,Yes,5
Children,RockPointe Church - Central,2428,CM: CC 10:45 AM Special Needs Kids,Bible Study/Class,Day 0 at 10:45:00; Day 6 at 17:00:00,Yes,9
Children,RockPointe Church - Central,1850,CM: CC 10:45 AM Walking-18 Months,Bible Study/Class,Day 0 at 10:45:00,Yes,2
Children,RockPointe Church - Central,1875,CM: CC 9:00a 18-24 Months,Bible Study/Class,Day 0 at 09:00:00,Yes,2
Children,RockPointe Church - Central,1861,CM: CC 9:00a 1st Grade,Bible Study/Class,Day 0 at 09:00:00,Yes,29
Children,RockPointe Church - Central,1877,CM: CC 9:00a 2 Years,Bible Study/Class,Day 0 at 09:00:00,Yes,18
Children,RockPointe Church - Central,1868,CM: CC 9:00a 2nd Grade,Bible Study/Class,Day 0 at 09:00:00,Yes,30
Children,RockPointe Church - Central,1880,CM: CC 9:00a 3 Years,Bible Study/Class,Day 0 at 09:00:00,Yes,25
Children,RockPointe Church - Central,821,CM: CC 9:00a 3rd Grade Boys,Bible Study/Class,Day 0 at 09:00:00,Yes,12
Children,RockPointe Church - Central,199,CM: CC 9:00a 3rd Grade Girls,Bible Study/Class,Day 0 at 09:00:00,Yes,17
Children,RockPointe Church - Central,1869,CM: CC 9:00a 4th Grade Boys,Bible Study/Class,Day 0 at 09:00:00,Yes,18
Children,RockPointe Church - Central,1873,CM: CC 9:00a 4th Grade Girls,Bible Study/Class,Day 0 at 09:00:00,Yes,19
Children,RockPointe Church - Central,1849,CM: CC 9:00a 5th Grade Boys,Bible Study/Class,Day 0 at 09:00:00,Yes,14
Children,RockPointe Church - Central,1862,CM: CC 9:00a 5th Grade Girls,Bible Study/Class,Day 0 at 09:00:00,Yes,16
Children,RockPointe Church - Central,358,CM: CC 9:00a Crawlers,Bible Study/Class,Day 0 at 09:00:00,Yes,5
Children,RockPointe Church - Central,1855,CM: CC 9:00a Infants,Bible Study/Class,Day 0 at 09:00:00,Yes,2
Children,RockPointe Church - Central,1852,CM: CC 9:00a Kindergarten,Bible Study/Class,Day 0 at 09:00:00,Yes,54
Children,RockPointe Church - Central,823,CM: CC 9:00a PreK (4-5 Years),Bible Study/Class,Day 0 at 09:00:00,Yes,11
Children,RockPointe Church - Central,86,CM: CC 9:00a Special Needs Kids,Bible Study/Class,Day 0 at 09:00:00,Yes,14
Children,RockPointe Church - Central,1863,CM: CC 9:00a Walking-18 Months,Bible Study/Class,Day 0 at 09:00:00,Yes,7
Children,RockPointe Church - Parker Square,1597,CM: PS 11:15 1st Grade,Bible Study/Class,Day 0 at 11:15:00,Yes,5
Children,RockPointe Church - Parker Square,1582,CM: PS 11:15 2 Years,Bible Study/Class,Day 0 at 11:15:00,Yes,2
Children,RockPointe Church - Parker Square,1599,CM: PS 11:15 2nd Grade,Bible Study/Class,Day 0 at 11:15:00,Yes,7
Children,RockPointe Church - Parker Square,1583,CM: PS 11:15 3 Years,Bible Study/Class,Day 0 at 11:15:00,Yes,4
Children,RockPointe Church - Parker Square,1805,CM: PS 11:15 3rd Grade Boys,Bible Study/Class,Day 0 at 11:15:00,Yes,5
Children,RockPointe Church - Parker Square,1806,CM: PS 11:15 3rd Grade Girls,Bible Study/Class,Day 0 at 11:15:00,Yes,3
Children,RockPointe Church - Parker Square,1603,CM: PS 11:15 4th Grade Boys,Bible Study/Class,Day 0 at 11:15:00,Yes,3
Children,RockPointe Church - Parker Square,1605,CM: PS 11:15 4th Grade Girls,Bible Study/Class,Day 0 at 11:15:00,Yes,5
Children,RockPointe Church - Parker Square,1607,CM: PS 11:15 5th Grade Boys,Bible Study/Class,Day 0 at 11:15:00,Yes,5
Children,RockPointe Church - Parker Square,1608,CM: PS 11:15 5th Grade Girls,Bible Study/Class,Day 0 at 11:15:00,Yes,4
Children,RockPointe Church - Parker Square,1580,CM: PS 11:15 Infants (Birth-Crawling),Bible Study/Class,Day 0 at 11:15:00,Yes,2
Children,RockPointe Church - Parker Square,1595,CM: PS 11:15 Kindergarten,Bible Study/Class,Day 0 at 11:15:00,Yes,10
Children,RockPointe Church - Parker Square,1584,CM: PS 11:15 PreK,Bible Study/Class,Day 0 at 11:15:00,Yes,1
Children,RockPointe Church - Parker Square,1591,CM: PS 11:15 Special Needs Kids,Bible Study/Class,Day 0 at 11:15:00,Yes,13
Children,RockPointe Church - Parker Square,1581,CM: PS 11:15 Toddlers (Walking-24 mo),Bible Study/Class,Day 0 at 11:15:00,No,1
Children,RockPointe Church - Parker Square,4105,CM: PS 8:30 1st Grade,Bible Study/Class,Day 0 at 08:30:00,Yes,1
Children,RockPointe Church - Parker Square,3503,CM: PS 8:30 2 Years,Bible Study/Class,Day 0 at 08:30:00,Yes,1
Children,RockPointe Church - Parker Square,4106,CM: PS 8:30 2nd Grade,Bible Study/Class,Day 0 at 08:30:00,No,
Children,RockPointe Church - Parker Square,3504,CM: PS 8:30 3 Years,Bible Study/Class,Day 0 at 08:30:00,Yes,4
Children,RockPointe Church - Parker Square,4107,CM: PS 8:30 3rd Grade Boys,Bible Study/Class,Day 0 at 08:30:00,No,
Children,RockPointe Church - Parker Square,4108,CM: PS 8:30 3rd Grade Girls,Bible Study/Class,Day 0 at 08:30:00,No,
Children,RockPointe Church - Parker Square,4109,CM: PS 8:30 4th Grade Boys,Bible Study/Class,Day 0 at 08:30:00,No,
Children,RockPointe Church - Parker Square,4110,CM: PS 8:30 4th Grade Girls,Bible Study/Class,Day 0 at 08:30:00,Yes,1
Children,RockPointe Church - Parker Square,4111,CM: PS 8:30 5th Grade Boys,Bible Study/Class,Day 0 at 08:30:00,No,
Children,RockPointe Church - Parker Square,4112,CM: PS 8:30 5th Grade Girls,Bible Study/Class,Day 0 at 08:30:00,Yes,1
Children,RockPointe Church - Parker Square,3501,CM: PS 8:30 Infants (Birth-Crawling),Bible Study/Class,Day 0 at 08:30:00,Yes,1
